"id";"nome";"url_detalhes";"tipo_primario";"tipo_secundario";"url_imagem";"geracao";"especie";"altura";"peso";"hp";"ataque";"defesa";"ataque_especial";"defesa_especial";"velocidade";"stats_total"
"#0001";"Bulbasaur";"https://pokemondb.net/pokedex/bulbasaur";"Grass";"Poison";"https://img.pokemondb.net/sprites/home/normal/2x/bulbasaur.jpg";"Generation 1";"Seed Pokémon";"0.7";"6.9";"45";"49";"49";"65";"65";"45";"318"
"#0002";"Ivysaur";"https://pokemondb.net/pokedex/ivysaur";"Grass";"Poison";"https://img.pokemondb.net/sprites/home/normal/2x/ivysaur.jpg";"Generation 1";"Seed Pokémon";"1.0";"13.0";"60";"62";"63";"80";"80";"60";"405"
"#0003";"Venusaur";"https://pokemondb.net/pokedex/venusaur";"Grass";"Poison";"https://img.pokemondb.net/sprites/home/normal/2x/venusaur.jpg";"Generation 1";"Seed Pokémon";"2.4";"155.5";"80";"100";"123";"122";"120";"80";"625"
"#0004";"Charmander";"https://pokemondb.net/pokedex/charmander";"Fire";"";"https://img.pokemondb.net/sprites/home/normal/2x/charmander.jpg";"Generation 1";"Lizard Pokémon";"0.6";"8.5";"39";"52";"43";"60";"50";"65";"309"
"#0005";"Charmeleon";"https://pokemondb.net/pokedex/charmeleon";"Fire";"";"https://img.pokemondb.net/sprites/home/normal/2x/charmeleon.jpg";"Generation 1";"Flame Pokémon";"1.1";"19.0";"58";"64";"58";"80";"65";"80";"405"
"#0006";"Charizard";"https://pokemondb.net/pokedex/charizard";"Fire";"Flying";"https://img.pokemondb.net/sprites/home/normal/2x/charizard.jpg";"Generation 1";"Flame Pokémon";"1.7";"100.5";"78";"104";"78";"159";"115";"100";"634"
"#0007";"Squirtle";"https://pokemondb.net/pokedex/squirtle";"Water";"";"https://img.pokemondb.net/sprites/home/normal/2x/squirtle.jpg";"Generation 1";"Tiny Turtle Pokémon";"0.5";"9.0";"44";"48";"65";"50";"64";"43";"314"
"#0008";"Wartortle";"https://pokemondb.net/pokedex/wartortle";"Water";"";"https://img.pokemondb.net/sprites/home/normal/2x/wartortle.jpg";"Generation 1";"Turtle Pokémon";"1.0";"22.5";"59";"63";"80";"65";"80";"58";"405"
"#0009";"Blastoise";"https://pokemondb.net/pokedex/blastoise";"Water";"";"https://img.pokemondb.net/sprites/home/normal/2x/blastoise.jpg";"Generation 1";"Shellfish Pokémon";"1.6";"101.1";"79";"103";"120";"135";"115";"78";"630"
"#0010";"Caterpie";"https://pokemondb.net/pokedex/caterpie";"Bug";"";"https://img.pokemondb.net/sprites/home/normal/2x/caterpie.jpg";"Generation 1";"Worm Pokémon";"0.3";"2.9";"45";"30";"35";"20";"20";"45";"195"
"#0011";"Metapod";"https://pokemondb.net/pokedex/metapod";"Bug";"";"https://img.pokemondb.net/sprites/home/normal/2x/metapod.jpg";"Generation 1";"Cocoon Pokémon";"0.7";"9.9";"50";"20";"55";"25";"25";"30";"205"
"#0012";"Butterfree";"https://pokemondb.net/pokedex/butterfree";"Bug";"Flying";"https://img.pokemondb.net/sprites/home/normal/2x/butterfree.jpg";"Generation 1";"Butterfly Pokémon";"1.1";"32.0";"60";"45";"50";"90";"80";"70";"395"
"#0013";"Weedle";"https://pokemondb.net/pokedex/weedle";"Bug";"Poison";"https://img.pokemondb.net/sprites/home/normal/2x/weedle.jpg";"Generation 1";"Hairy Bug Pokémon";"0.3";"3.2";"40";"35";"30";"20";"20";"50";"195"
"#0014";"Kakuna";"https://pokemondb.net/pokedex/kakuna";"Bug";"Poison";"https://img.pokemondb.net/sprites/home/normal/2x/kakuna.jpg";"Generation 1";"Cocoon Pokémon";"0.6";"10.0";"45";"25";"50";"25";"25";"35";"205"
"#0015";"Beedrill";"https://pokemondb.net/pokedex/beedrill";"Bug";"Poison";"https://img.pokemondb.net/sprites/home/normal/2x/beedrill.jpg";"Generation 1";"Poison Bee Pokémon";"1.4";"40.5";"65";"150";"40";"15";"80";"145";"495"
"#0016";"Pidgey";"https://pokemondb.net/pokedex/pidgey";"Normal";"Flying";"https://img.pokemondb.net/sprites/home/normal/2x/pidgey.jpg";"Generation 1";"Tiny Bird Pokémon";"0.3";"1.8";"40";"45";"40";"35";"35";"56";"251"
